INDIVIDUAL_ID,INCOME,HAS_CHILDREN,LENGTH_OF_RESIDENCE,MARITAL_STATUS,HOME_MARKET_VALUE,HOME_OWNER,COLLEGE_DEGREE,GOOD_CREDIT
221303134759.0,80372.176,0.0,6.801,,125000 - 149999,0,0,0
221303133284.0,162500.0,0.0,6.0,Married,300000 - 349999,1,1,1
221303129486.0,70000.0,0.0,13.0,Married,100000 - 124999,1,0,1
221303063461.0,62500.0,0.0,11.0,Single,50000 - 74999,1,0,1
221303061029.0,62500.0,1.0,5.0,,100000 - 124999,1,0,1
221303056721.0,62500.0,0.0,2.0,Single,100000 - 124999,1,1,0
221303055873.0,62500.0,1.0,5.0,Married,100000 - 124999,1,1,1
221303047399.0,87500.0,0.0,15.0,Married,50000 - 74999,1,1,1
221303046415.0,125000.0,1.0,15.0,Single,75000 - 99999,1,0,1
221303045144.0,162500.0,0.0,0.0,,,0,0,1
221303044779.0,32500.0,0.0,3.0,Single,25000 - 49999,1,0,0
221303120741.0,87500.0,0.0,15.0,Married,75000 - 99999,1,1,1
221303119036.0,70000.0,0.0,6.0,Single,75000 - 99999,1,1,1
221303118252.0,80372.176,0.0,0.0,,,0,0,1
221303117856.0,80372.176,0.0,3.0,,50000 - 74999,1,0,1
221303115564.0,37500.0,0.0,15.0,Married,50000 - 74999,1,0,1
221303112728.0,32500.0,0.0,7.0,Single,1000 - 24999,1,0,0
221303108423.0,80372.176,0.0,6.801,,225000 - 249999,0,0,1
221303097462.0,80372.176,1.0,0.0,,25000 - 49999,0,0,0
221303093994.0,80372.176,0.0,2.0,,75000 - 99999,1,0,1
221303076683.0,62500.0,0.0,13.0,Married,125000 - 149999,1,1,1
221303060713.0,87500.0,0.0,10.0,Married,150000 - 174999,1,1,1
221303054743.0,32500.0,0.0,9.0,Single,75000 - 99999,1,1,1
221303066755.0,47500.0,1.0,3.0,Married,25000 - 49999,1,0,1
221303065655.0,5000.0,1.0,10.0,Single,50000 - 74999,1,1,0
221303060279.0,42500.0,1.0,5.0,Single,75000 - 99999,1,0,1
221303051762.0,125000.0,0.0,15.0,Married,100000 - 124999,1,0,1
221303017115.0,57500.0,1.0,15.0,Single,100000 - 124999,1,0,1
221303016409.0,62500.0,0.0,2.0,Single,75000 - 99999,0,1,1
221301854046.0,70000.0,0.0,6.0,Single,75000 - 99999,1,1,1
221301853530.0,57500.0,0.0,4.0,Single,125000 - 149999,0,0,1
221301848255.0,47500.0,0.0,2.0,Single,75000 - 99999,0,0,1
221301840418.0,125000.0,1.0,2.0,Married,400000 - 449999,1,0,1
221301837830.0,80372.176,0.0,13.0,Married,25000 - 49999,1,0,1
221301834904.0,250000.0,1.0,7.0,Married,250000 - 274999,1,0,1
221301989557.0,57500.0,0.0,15.0,Single,50000 - 74999,1,0,1
221301681941.0,62500.0,1.0,15.0,Married,100000 - 124999,1,0,1
221301679857.0,125000.0,0.0,11.0,Married,75000 - 99999,1,0,1
221301678562.0,17500.0,1.0,4.0,Single,50000 - 74999,1,0,1
221301674429.0,47500.0,0.0,8.0,Married,150000 - 174999,1,0,1
221301670331.0,22500.0,0.0,7.0,Married,50000 - 74999,1,0,0
221301714766.0,70000.0,1.0,14.0,Married,50000 - 74999,1,0,1
221301707183.0,42500.0,0.0,0.0,Single,,0,0,1
221301704858.0,32500.0,0.0,6.0,Single,75000 - 99999,1,0,1
221301701827.0,125000.0,0.0,13.0,Married,100000 - 124999,1,1,1
221301691837.0,250000.0,0.0,15.0,Married,275000 - 299999,1,0,1
221301690389.0,27500.0,0.0,15.0,Married,75000 - 99999,1,0,1
221301690009.0,32500.0,1.0,6.0,Married,25000 - 49999,1,0,1
221301681526.0,87500.0,0.0,1.0,Married,250000 - 274999,1,0,1
221301692185.0,52500.0,1.0,9.0,Married,50000 - 74999,1,0,0
221301687700.0,125000.0,0.0,8.0,Single,50000 - 74999,1,0,1
221301678186.0,32500.0,1.0,12.0,Married,25000 - 49999,1,1,1
221301676466.0,32500.0,1.0,5.0,Single,75000 - 99999,1,1,0
221301674316.0,70000.0,1.0,0.0,Married,,0,1,1
221301671409.0,62500.0,0.0,2.0,Single,100000 - 124999,1,0,1
221301670110.0,52500.0,1.0,15.0,Married,75000 - 99999,1,0,1
221301677929.0,250000.0,1.0,15.0,Married,125000 - 149999,1,0,1
221302243372.0,125000.0,0.0,5.0,Single,300000 - 349999,0,0,1
221302237905.0,62500.0,0.0,15.0,Married,100000 - 124999,1,1,1
221302225801.0,80372.176,0.0,0.0,,,0,0,0
221302224056.0,62500.0,0.0,1.0,Single,200000 - 224999,1,0,1
221302990321.0,17500.0,1.0,2.0,Single,100000 - 124999,0,0,1
221302989142.0,52500.0,0.0,13.0,Married,75000 - 99999,1,0,1
221302334227.0,87500.0,1.0,10.0,Married,150000 - 174999,1,0,1
221303251957.0,62500.0,0.0,1.0,Single,150000 - 174999,0,0,0
221303243850.0,70000.0,1.0,4.0,Single,175000 - 199999,1,1,1
221301331004.0,32500.0,1.0,7.0,Single,50000 - 74999,1,0,0
221301330242.0,87500.0,1.0,0.0,Single,,0,1,1
221301327579.0,80372.176,0.0,6.801,,1000 - 24999,0,0,1
221301321180.0,250000.0,1.0,5.0,Single,200000 - 224999,1,0,1
221301318730.0,80372.176,0.0,0.0,,,0,0,0
221301316578.0,52500.0,1.0,13.0,Single,75000 - 99999,0,0,1
221301312821.0,57500.0,1.0,4.0,Married,75000 - 99999,1,1,1
221301569702.0,47500.0,0.0,8.0,Married,100000 - 124999,1,0,1
221301567223.0,125000.0,0.0,15.0,Married,75000 - 99999,1,1,1
221303047808.0,70000.0,0.0,15.0,Married,25000 - 49999,1,0,1
221302989267.0,62500.0,1.0,15.0,Married,75000 - 99999,1,0,1
221302988218.0,70000.0,0.0,3.0,,75000 - 99999,1,0,1
221302987951.0,87500.0,0.0,15.0,Married,175000 - 199999,1,0,1
221302982154.0,70000.0,1.0,3.0,Single,100000 - 124999,1,0,1
221302116864.0,250000.0,1.0,6.0,Married,225000 - 249999,1,0,1
221302108497.0,80372.176,0.0,2.0,,100000 - 124999,1,0,1
221302104899.0,87500.0,1.0,15.0,Married,125000 - 149999,1,1,1
221302089970.0,62500.0,1.0,5.0,Single,125000 - 149999,1,1,1
221302085171.0,70000.0,1.0,6.801,,75000 - 99999,0,1,1
221303111609.0,125000.0,1.0,6.0,Married,100000 - 124999,1,1,1
221303109614.0,87500.0,1.0,3.0,Married,1000 - 24999,0,1,0
221303109178.0,42500.0,1.0,5.0,Married,25000 - 49999,0,0,0
221303107677.0,87500.0,1.0,3.0,Married,100000 - 124999,1,0,0
221302175205.0,80372.176,0.0,6.801,,200000 - 224999,0,0,1
221300025406.0,42500.0,1.0,2.0,Single,75000 - 99999,0,0,1
221300021487.0,70000.0,1.0,4.0,Married,100000 - 124999,1,0,1
221300021413.0,87500.0,0.0,5.0,Married,175000 - 199999,1,0,1
221300014387.0,80372.176,0.0,6.801,,75000 - 99999,0,0,1
221300010159.0,27500.0,0.0,5.0,Married,75000 - 99999,1,0,1
221302183124.0,125000.0,1.0,3.0,Married,400000 - 449999,1,0,1
221302180580.0,80372.176,0.0,6.801,,300000 - 349999,0,0,0
221302049437.0,62500.0,1.0,4.0,Married,50000 - 74999,1,0,1
221302030431.0,87500.0,1.0,3.0,Married,150000 - 174999,1,1,1
221302022168.0,87500.0,0.0,9.0,Married,50000 - 74999,1,0,1
221302046866.0,32500.0,1.0,15.0,Married,50000 - 74999,1,1,0
221302030011.0,42500.0,1.0,9.0,Single,50000 - 74999,1,0,1
221302019176.0,47500.0,0.0,15.0,Single,225000 - 249999,1,0,1
221302015779.0,80372.176,0.0,6.801,,1000 - 24999,1,0,1
221302015601.0,87500.0,1.0,2.0,Married,200000 - 224999,0,0,1
221302012201.0,80372.176,0.0,6.801,,200000 - 224999,1,0,1
221302010813.0,87500.0,0.0,1.0,Married,75000 - 99999,1,1,1
221301943786.0,12500.0,0.0,2.0,,1000 - 24999,0,0,0
221301934970.0,47500.0,1.0,9.0,Married,75000 - 99999,1,0,1
221301928316.0,12500.0,1.0,9.0,Married,100000 - 124999,1,1,0
221301924884.0,70000.0,1.0,4.0,Married,75000 - 99999,1,0,1
221301914973.0,52500.0,1.0,1.0,Single,100000 - 124999,1,1,0
221301906864.0,125000.0,0.0,11.0,Single,200000 - 224999,1,0,1
221301836797.0,80372.176,0.0,6.801,,125000 - 149999,0,0,1
221300643585.0,42500.0,0.0,8.0,Married,50000 - 74999,1,0,1
221300638977.0,17500.0,1.0,9.0,Single,50000 - 74999,1,0,1
221300631398.0,42500.0,0.0,13.0,Single,50000 - 74999,1,1,1
221303208554.0,70000.0,0.0,1.0,Single,125000 - 149999,0,0,1
221303204726.0,37500.0,1.0,15.0,Single,50000 - 74999,0,1,0
221303201864.0,125000.0,0.0,0.0,,,0,0,1
221303191810.0,80372.176,0.0,1.0,,75000 - 99999,1,0,1
221303039686.0,52500.0,1.0,3.0,Married,75000 - 99999,1,1,1
221303035892.0,37500.0,0.0,3.0,Single,100000 - 124999,1,0,1
221303238638.0,70000.0,1.0,2.0,Married,75000 - 99999,1,1,1
221303234938.0,80372.176,0.0,2.0,,125000 - 149999,0,0,1
221303232983.0,80372.176,0.0,6.801,,100000 - 124999,0,1,0
221301394300.0,80372.176,0.0,6.801,,500000 - 749999,0,0,0
221301391862.0,125000.0,1.0,11.0,Married,150000 - 174999,1,1,1
221301387480.0,80372.176,0.0,6.0,Married,75000 - 99999,1,0,1
221301385311.0,250000.0,0.0,14.0,Married,150000 - 174999,1,0,1
221301385214.0,70000.0,1.0,13.0,Married,50000 - 74999,1,1,1
221301384702.0,80372.176,0.0,11.0,,75000 - 99999,0,0,1
221301384011.0,80372.176,0.0,9.0,,100000 - 124999,1,0,1
221301376810.0,225000.0,1.0,13.0,Married,150000 - 174999,1,0,1
221301366207.0,12500.0,1.0,2.0,Married,75000 - 99999,1,0,0
221301363693.0,27500.0,0.0,12.0,Married,50000 - 74999,1,0,1
221301362242.0,70000.0,0.0,3.0,Single,75000 - 99999,1,0,1
221301360489.0,52500.0,0.0,7.0,Single,75000 - 99999,1,0,1
221301348931.0,125000.0,0.0,8.0,Married,200000 - 224999,1,0,1
221301345874.0,42500.0,0.0,3.0,Married,100000 - 124999,1,0,1
221301338307.0,80372.176,0.0,8.0,,175000 - 199999,0,0,0
221301337783.0,250000.0,0.0,2.0,Married,300000 - 349999,1,0,1
221301331676.0,70000.0,0.0,0.0,,,0,0,1
221301331187.0,87500.0,0.0,12.0,Single,100000 - 124999,0,0,1
221301321021.0,80372.176,0.0,6.801,,125000 - 149999,0,0,1
221302021606.0,42500.0,0.0,4.0,Married,125000 - 149999,1,0,1
221301904495.0,62500.0,1.0,13.0,Married,75000 - 99999,1,1,1
221301884370.0,162500.0,0.0,5.0,Married,75000 - 99999,1,0,1
221301871048.0,125000.0,1.0,15.0,Married,150000 - 174999,1,1,1
221301998217.0,125000.0,0.0,3.0,Married,150000 - 174999,1,0,1
221301995630.0,87500.0,1.0,1.0,Married,125000 - 149999,1,1,0
221301962062.0,87500.0,0.0,8.0,Married,125000 - 149999,1,1,1
221301984895.0,80372.176,0.0,1.0,,25000 - 49999,0,0,0
221301982290.0,47500.0,0.0,3.0,Single,50000 - 74999,1,0,1
221301980061.0,42500.0,0.0,7.0,Single,50000 - 74999,1,0,0
221301973481.0,70000.0,0.0,0.0,,,0,0,1
221301969718.0,27500.0,0.0,6.801,,50000 - 74999,0,0,1
221301964800.0,87500.0,0.0,2.0,Single,175000 - 199999,0,0,1
221301675551.0,125000.0,1.0,6.0,Single,225000 - 249999,1,0,1
221301674988.0,12500.0,1.0,0.0,Married,,0,0,0
221303033295.0,70000.0,1.0,9.0,Single,100000 - 124999,0,0,1
221303031186.0,80372.176,0.0,1.0,,125000 - 149999,0,0,0
221303028853.0,125000.0,1.0,2.0,Single,125000 - 149999,1,1,1
221303021770.0,47500.0,1.0,8.0,Married,150000 - 174999,1,0,1
221303021211.0,57500.0,0.0,15.0,Married,75000 - 99999,1,0,1
221303015384.0,12500.0,0.0,15.0,Single,75000 - 99999,1,0,0
221303013588.0,32500.0,0.0,4.0,Single,75000 - 99999,1,0,0
221303120566.0,125000.0,0.0,12.0,Married,100000 - 124999,1,0,1
221303102404.0,125000.0,1.0,0.0,Married,,0,0,0
221303100472.0,187500.0,0.0,4.0,Married,225000 - 249999,1,1,1
221303094822.0,57500.0,0.0,12.0,,100000 - 124999,1,0,1
221303092686.0,87500.0,1.0,9.0,Married,200000 - 224999,1,1,1
221303017837.0,5000.0,1.0,7.0,Single,75000 - 99999,1,1,0
221303068475.0,62500.0,1.0,9.0,Married,75000 - 99999,1,0,1
221303061086.0,80372.176,0.0,6.801,,50000 - 74999,1,0,1
221303118170.0,17500.0,0.0,12.0,Married,25000 - 49999,1,1,1
221303115313.0,87500.0,0.0,6.0,Married,100000 - 124999,1,0,1
221303145782.0,87500.0,1.0,1.0,Married,175000 - 199999,0,0,1
221300366799.0,80372.176,1.0,6.801,,100000 - 124999,0,0,1
221300437573.0,17500.0,0.0,15.0,Married,125000 - 149999,1,0,1
221300432157.0,87500.0,0.0,12.0,Married,150000 - 174999,1,0,1
221300425213.0,70000.0,0.0,15.0,Married,75000 - 99999,1,0,1
221300379324.0,125000.0,1.0,15.0,Married,125000 - 149999,1,0,1
221300374779.0,125000.0,1.0,1.0,Married,125000 - 149999,1,0,1
221300361464.0,70000.0,1.0,4.0,Married,150000 - 174999,1,0,1
221300359146.0,80372.176,0.0,3.0,,400000 - 449999,1,0,1
221300345221.0,17500.0,0.0,5.0,,1000 - 24999,0,1,1
221300582047.0,52500.0,1.0,0.0,Married,,0,0,1
221300597501.0,87500.0,0.0,15.0,Married,125000 - 149999,1,0,1
221300587539.0,80372.176,0.0,6.801,,75000 - 99999,0,0,1
221300586721.0,37500.0,1.0,11.0,Single,125000 - 149999,1,0,1
221300574387.0,70000.0,1.0,5.0,Single,100000 - 124999,1,0,1
221300561070.0,87500.0,1.0,4.0,Married,125000 - 149999,1,0,1
221300560858.0,87500.0,0.0,4.0,Married,75000 - 99999,1,1,1
221300618187.0,70000.0,0.0,3.0,Married,350000 - 399999,1,0,1
221300611259.0,80372.176,0.0,6.801,,300000 - 349999,0,0,1
221300609841.0,87500.0,1.0,5.0,Married,450000 - 499999,1,0,1
221300016618.0,80372.176,0.0,6.801,,200000 - 224999,0,0,1
221300002375.0,87500.0,1.0,15.0,Single,125000 - 149999,1,1,1
221300041151.0,52500.0,1.0,5.0,Married,100000 - 124999,1,0,1
221300035505.0,125000.0,0.0,13.0,Married,75000 - 99999,1,0,1
221300032855.0,47500.0,0.0,15.0,Married,100000 - 124999,1,0,1
221300026587.0,80372.176,0.0,6.801,,,0,0,1
221300010464.0,80372.176,0.0,12.0,,175000 - 199999,0,0,1
221300088431.0,225000.0,0.0,11.0,Married,150000 - 174999,1,1,1
221303073658.0,70000.0,0.0,0.0,,,0,0,1
221302714010.0,27500.0,0.0,4.0,Married,100000 - 124999,1,0,1
221302708858.0,80372.176,0.0,0.0,,125000 - 149999,1,0,1
221302703183.0,32500.0,0.0,15.0,Married,150000 - 174999,1,1,0
221302689657.0,87500.0,1.0,10.0,Married,100000 - 124999,1,0,1
221302683302.0,80372.176,0.0,0.0,,100000 - 124999,1,0,1
221302682770.0,12500.0,0.0,0.0,,,0,0,1
221302634206.0,87500.0,0.0,3.0,Married,75000 - 99999,1,0,1
221302622661.0,80372.176,0.0,6.801,,50000 - 74999,0,0,0
221302616812.0,70000.0,1.0,6.0,Single,75000 - 99999,1,1,1
221302607351.0,125000.0,1.0,10.0,Married,50000 - 74999,1,1,1
221302600539.0,47500.0,1.0,15.0,Married,,1,0,0
221302775906.0,80372.176,0.0,6.801,,150000 - 174999,0,0,0
221302774056.0,87500.0,0.0,0.0,Married,200000 - 224999,1,1,0
221302762474.0,125000.0,1.0,15.0,Married,25000 - 49999,1,0,1
221302751451.0,125000.0,1.0,3.0,Married,150000 - 174999,1,0,1
221302747569.0,80372.176,0.0,11.0,Single,50000 - 74999,1,0,1
221302068156.0,125000.0,0.0,3.0,Married,175000 - 199999,1,0,0
221302060568.0,80372.176,0.0,6.801,,75000 - 99999,0,0,1
221300475323.0,87500.0,0.0,4.0,Single,75000 - 99999,1,0,1
221300453130.0,62500.0,1.0,15.0,Married,50000 - 74999,1,0,1
221300445927.0,37500.0,0.0,6.0,Married,1000 - 24999,1,0,1
221303227219.0,27500.0,0.0,15.0,Married,75000 - 99999,1,0,1
221303217766.0,125000.0,0.0,15.0,Married,25000 - 49999,1,1,0
221302030003.0,87500.0,0.0,8.0,Married,125000 - 149999,1,0,0
221301821651.0,37500.0,0.0,0.0,Single,,0,1,1
221301816968.0,125000.0,1.0,7.0,Single,100000 - 124999,1,0,1
221301813071.0,87500.0,0.0,2.0,Married,100000 - 124999,0,0,0
221301797634.0,80372.176,0.0,6.801,,75000 - 99999,0,0,1
221301789738.0,87500.0,1.0,11.0,Single,75000 - 99999,1,1,1
221301780976.0,80372.176,0.0,6.801,,50000 - 74999,0,1,0
221303070523.0,62500.0,1.0,15.0,Married,75000 - 99999,1,0,1
221303069996.0,27500.0,0.0,6.0,Single,75000 - 99999,1,0,1
221303069599.0,80372.176,0.0,0.0,,350000 - 399999,1,1,0
221303065581.0,70000.0,0.0,13.0,Single,100000 - 124999,1,0,1
221303056516.0,37500.0,0.0,5.0,Single,25000 - 49999,0,0,1
221303053260.0,125000.0,0.0,15.0,Married,100000 - 124999,1,0,1
221303051565.0,125000.0,0.0,13.0,Single,125000 - 149999,1,0,1
221302838450.0,70000.0,0.0,0.0,,,0,0,1
221302835458.0,42500.0,1.0,15.0,Single,200000 - 224999,1,1,1
221302830893.0,87500.0,1.0,11.0,Married,225000 - 249999,1,1,1
221302824642.0,32500.0,0.0,3.0,Single,50000 - 74999,1,1,0
221302906651.0,125000.0,1.0,2.0,,150000 - 174999,1,0,1
221303014249.0,70000.0,0.0,4.0,Single,75000 - 99999,1,1,1
221303012566.0,32500.0,0.0,0.0,,,0,0,1
221303011790.0,80372.176,0.0,15.0,Single,75000 - 99999,1,0,1
221303011668.0,70000.0,1.0,11.0,Married,100000 - 124999,1,0,1
221303007728.0,17500.0,0.0,15.0,Single,75000 - 99999,1,1,1
221303001761.0,80372.176,0.0,11.0,Single,150000 - 174999,1,1,1
221302997805.0,87500.0,0.0,15.0,Single,150000 - 174999,1,1,1
221302996799.0,47500.0,1.0,4.0,Married,150000 - 174999,0,0,1
221303127952.0,42500.0,1.0,11.0,Married,25000 - 49999,1,0,0
221303122335.0,80372.176,0.0,0.0,,150000 - 174999,0,0,1
221303122010.0,80372.176,0.0,14.0,,25000 - 49999,0,0,1
221303120151.0,125000.0,0.0,2.0,Married,100000 - 124999,1,0,1
221303032546.0,37500.0,0.0,12.0,Single,75000 - 99999,1,1,1
221303032473.0,57500.0,1.0,2.0,Married,100000 - 124999,1,0,1
221303028888.0,17500.0,0.0,2.0,,50000 - 74999,1,1,0
221303021840.0,57500.0,0.0,0.0,,300000 - 349999,0,0,1
221303041008.0,125000.0,1.0,15.0,Married,75000 - 99999,1,1,1
221303039853.0,125000.0,0.0,5.0,Married,125000 - 149999,1,0,0
221303037820.0,187500.0,1.0,5.0,Married,200000 - 224999,1,0,0
221303037625.0,80372.176,0.0,1.0,,50000 - 74999,1,0,1
221303036874.0,42500.0,0.0,15.0,Married,50000 - 74999,1,1,1
221303033261.0,87500.0,0.0,3.0,Single,150000 - 174999,1,1,1
221302993564.0,12500.0,0.0,0.0,Married,,0,0,0
221302976562.0,125000.0,0.0,2.0,Married,75000 - 99999,1,1,1
221303135235.0,87500.0,0.0,15.0,Married,75000 - 99999,1,0,1
221303098423.0,80372.176,0.0,6.801,,1000 - 24999,0,0,1
221303000801.0,87500.0,1.0,5.0,Married,100000 - 124999,1,0,1
221302996445.0,87500.0,1.0,5.0,Married,125000 - 149999,1,0,1
221302990815.0,70000.0,1.0,15.0,Single,100000 - 124999,1,1,1
221302986358.0,87500.0,0.0,4.0,Single,125000 - 149999,1,1,0
221302985231.0,70000.0,1.0,2.0,Married,75000 - 99999,1,0,0
221302985187.0,62500.0,0.0,2.0,Married,100000 - 124999,1,0,1
221301840036.0,42500.0,1.0,6.0,Married,75000 - 99999,1,1,1
221301838546.0,87500.0,1.0,15.0,Married,125000 - 149999,1,0,1
